Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,MPG,PER,USG,DP,UQR
Dewayne Dedmon,33785-16301,C,Dewayne,Dedmon,27.12458976370389,61,5900,PHI@ATL,ATL,PHI,,,,,,34.279999999999994,27.6,15.6,17.0,0.08879076339310422,32.9
Goran Dragic,33785-9673,PG,Goran,Dragic,24.815385084885822,26,5900,MIA@WAS,MIA,WAS,,,,,,19.259999999999998,19.2,12.4,25.5,0.8676371288257312,29.85
Harrison Barnes,33785-15946,SF,Harrison,Barnes,26.218182188091856,66,5800,PHO@SAC,SAC,PHO,,,,,,31.759999999999998,37.0,12.7,22.9,0.24768972583153015,35.8
Bobby Portis,33785-42156,PF,Bobby,Portis,27.229268888147868,41,5700,MIA@WAS,WAS,MIA,,,,,,29.679999999999996,25.4,17.3,26.0,0.016160640219438013,39.4
Delon Wright,33785-40830,SG,Delon,Wright,18.520000751201927,65,5600,MIN@MEM,MEM,MIN,,,,,,27.479999999999997,27.6,14.2,16.9,0.8842912792861917,36.85
Jae Crowder,33785-15800,SF,Jae,Crowder,22.78732428752201,71,5500,UTA@CHI,UTA,CHI,,,,,,25.4,29.4,12.1,19.2,0.32255484096434267,30.2
Hassan Whiteside,33785-12363,C,Hassan,Whiteside,34.32539682539682,63,5400,MIA@WAS,MIA,WAS,,,,,,36.059999999999995,22.8,22.1,22.2,0.9264354911522384,48.0
Tyus Jones,33785-58081,PG,Tyus,Jones,18.132757778825432,58,5400,MIN@MEM,MIN,MEM,,,,,,15.280000000000001,21.4,12.7,13.5,0.274638811751623,16.1
Dwyane Wade,33785-9585,SG,Dwyane,Wade,26.23809523809524,63,5400,MIA@WAS,MIA,WAS,,,,,,25.1,25.4,15.4,26.9,0.7411806524335207,25.65
Kelly Olynyk,33785-22541,PF,Kelly,Olynyk,20.34492824388587,69,5300,MIA@WAS,MIA,WAS,,,,,,33.82,31.6,14.3,18.9,0.8156903555621056,44.2
Maurice Harkless,33785-16178,SF,Maurice,Harkless,19.01800048828125,50,5300,DET@POR,POR,DET,,,,,,28.240000000000002,27.4,11.3,13.1,0.07187651678289322,35.95
Nemanja Bjelica,33785-12368,SF,Nemanja,Bjelica,23.08059737931437,67,5200,PHO@SAC,SAC,PHO,,,,,,17.96,19.0,15.7,16.9,0.24768972583153015,20.5
Reggie Jackson,33785-14523,PG,Reggie,Jackson,25.421127104423412,71,5200,DET@POR,DET,POR,,,,,,24.619999999999997,24.6,14.7,23.0,0.5808015906524132,27.6
Mikal Bridges,33785-84670,SF,Mikal,Bridges,20.416438690603595,73,5100,PHO@SAC,PHO,SAC,,,,,,23.639999999999997,28.0,10.9,12.5,0.5817103865982473,24.65
James Johnson,33785-9966,PF,James,Johnson,17.586667209201387,45,5000,MIA@WAS,MIA,WAS,,,,,,18.04,19.8,10.9,18.2,0.8156903555621056,21.55
Thomas Bryant,33785-67312,C,Thomas,Bryant,21.49206349206349,63,5000,MIA@WAS,WAS,MIA,,,,,,21.18,17.0,21.6,17.3,0.003629479569163137,21.05
Maxi Kleber,33785-81621,PF,Maxi,Kleber,17.76825435577877,63,4900,DAL@GS,DAL,GSW,,,,,,14.939999999999998,20.6,12.9,14.0,0.9595981954440151,19.7
Ish Smith,33785-12511,PG,Ish,Smith,18.337778049045134,45,4900,DET@POR,DET,POR,,,,,,25.14,22.0,10.2,19.3,0.5808015906524132,24.95
Al-Farouq Aminu,33785-12342,PF,Al-Farouq,Aminu,23.011268293353872,71,4800,DET@POR,POR,DET,,,,,,20.48,28.6,13.6,13.0,0.027843275282867626,22.2
Josh Okogie,33785-84689,SG,Josh,Okogie,16.58923152043269,65,4800,MIN@MEM,MIN,MEM,,,,,,16.04,24.4,8.4,16.8,0.2962412394749948,16.3
Taurean Prince,33785-23572,SF,Taurean,Prince,22.989795918367342,49,4700,PHI@ATL,ATL,PHI,,,,,,-1000.0,-1000.0,-1000.0,-1000.0,0.6525809624452856,
Wayne Ellington,33785-9956,SG,Wayne,Ellington,16.1547619047619,42,4700,DET@POR,DET,POR,,,,,,18.419999999999998,24.8,9.7,16.1,0.6108844932212483,23.85
Rodney Hood,33785-15904,SF,Rodney,Hood,18.603226200226814,62,4600,DET@POR,POR,DET,,,,,,14.080000000000002,22.8,12.9,18.6,0.07187651678289322,16.65
Enes Kanter,33785-14516,C,Enes,Kanter,28.073683353892545,57,4600,DET@POR,POR,DET,,,,,,17.7,17.6,22.3,23.0,0.009987218030808332,21.1
Chandler Parsons,33785-14537,SF,Chandler,Parsons,13.581250190734865,16,4500,MIN@MEM,MEM,MIN,,,,,,8.76,15.4,2.3,19.6,0.9532243274403575,9.9
Bogdan Bogdanovic,33785-55060,SG,Bogdan,Bogdanovic,26.29000040690104,60,4500,PHO@SAC,SAC,PHO,,,,,,30.0,34.0,14.7,23.2,0.0340865034518847,23.7
Shaquille Harrison,33785-82744,PG,Shaquille,Harrison,15.354687690734865,64,4500,UTA@CHI,CHI,UTA,,,,,,14.580000000000002,15.6,11.4,16.1,0.07936100044154663,17.8
Richaun Holmes,33785-23447,PF,Richaun,Holmes,19.276923076923076,65,4400,PHO@SAC,PHO,SAC,,,,,,19.880000000000003,17.8,21.4,17.5,0.12206972962474516,23.4
Jeff Green,33785-9648,SF,Jeff,Green,21.756337340448948,71,4400,MIA@WAS,WAS,MIA,,,,,,20.640000000000004,27.6,13.8,17.7,0.10268166989249719,25.25
