Unnamed: 0,No.,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College,TEAM,MPG
14,24,PF,7-0,240,"May 22, 1997",fi,1,Arizona,CHI,
15,2,PF,6-8,245,"March 15, 1995",us,4,Duke,CHI,
16,22,PG,6-3,190,"August 8, 1994",us,3,Murray State,CHI,
17,22,SF,6-8,198,"June 3, 1993",us,5,Georgetown,CHI,
18,5,PF,6-11,250,"February 10, 1995",us,3,Arkansas,CHI,
19,44,SG,6-5,184,"May 1, 1997",us,R,LSU,CHI,
20,41,SF,6-9,214,"March 20, 1993",us,3,St. John's,CHI,
21,14,SG,6-5,230,"September 30, 1994",us,2,Kansas,CHI,
22,0,PG,5-10,160,"January 5, 1996",us,2,Kentucky,CHI,
1,7,SG,6-7,221,"August 30, 1995",us,1,Florida State,CHO,
2,5,SF,6-8,200,"December 14, 1988",fr,10,,CHO,
3,8,C,6-9,255,"August 28, 1992",cd,7,,CHO,
4,0,SF,6-7,225,"March 21, 1998",us,R,Michigan State,CHO,
5,31,PG,6-3,190,"November 1, 1995",us,R,College of Charleston,CHO,
6,4,PG,6-2,185,"February 22, 1995",us,R,Kansas,CHO,
7,41,C,6-11,240,"May 27, 1994",es,2,,CHO,
8,44,C,7-0,242,"April 4, 1993",us,3,Wisconsin,CHO,
9,14,PF,6-7,232,"September 26, 1993",us,6,Kentucky,CHO,
10,3,SG,6-5,185,"May 30, 1992",us,6,UConn,CHO,
11,6,PG,6-3,203,"April 22, 1990",us,7,Butler,CHO,
12,55,SG,6-5,205,"June 5, 1995",us,R,Xavier,CHO,
13,1,SG,6-3,200,"February 4, 1998",us,1,Kentucky,CHO,
14,9,PG,6-2,185,"May 17, 1982",be,17,,CHO,
15,15,PG,6-1,184,"May 8, 1990",us,7,UConn,CHO,
16,2,PF,6-9,237,"June 19, 1986",us,13,UNC,CHO,
