,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
193,Ian Clark,1.6,2.6,1.8,0.4,0.0,0.2,0.506,0.342,0.353,0.455,0.0,0.33299999999999996
194,Ian Mahinmi,0.2,0.3,0.0,2.8,0.2,0.6,0.2,0.16699999999999998,0.0,0.522,0.5,0.545
195,Ike Anigbogu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Iman Shumpert,0.6,4.0,1.8,0.4,0.0,0.1,0.34299999999999997,0.37200000000000005,0.299,0.556,0.25,0.364
197,Isaac Bonga,0.3,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0
198,Isaac Humphries,0.0,1.8,0.0,1.2,0.0,0.0,0.0,0.231,0.0,0.375,0.0,0.0
199,Isaiah Briscoe,1.5,0.8,0.7,0.0,0.0,0.0,0.455,0.313,0.289,0.0,0.0,0.0
200,Isaiah Canaan,1.3,2.2,1.9,0.1,0.1,0.1,0.386,0.361,0.423,0.5,1.0,1.0
201,Isaiah Hartenstein,0.0,0.2,0.0,1.3,0.1,0.4,0.0,0.33299999999999996,0.0,0.483,1.0,0.556
202,Isaiah Hicks,0.7,0.0,1.3,2.0,0.3,0.0,0.5,0.0,0.667,0.667,0.0,0.0
203,Isaiah Thomas,3.1,1.8,2.2,0.0,0.0,0.0,0.341,0.267,0.37,0.0,0.0,0.0
204,Ish Smith,4.2,1.3,3.0,0.0,0.0,0.1,0.461,0.32899999999999996,0.373,0.14300000000000002,0.0,0.667
205,Ivan Rabb,0.4,0.6,0.3,2.9,0.8,1.0,0.583,0.28,0.389,0.648,0.528,0.488
206,Ivica Zubac,0.1,0.2,0.0,6.6,1.0,1.9,1.0,0.316,0.33299999999999996,0.569,0.48,0.616
207,J.J. Barea,5.3,1.0,4.7,0.2,0.0,0.1,0.457,0.26,0.41600000000000004,0.667,0.0,0.667
208,J.P. Macura,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
209,JJ Redick,1.3,6.9,6.4,0.7,0.0,0.5,0.479,0.426,0.426,0.615,0.0,0.395
210,JR Smith,0.7,2.7,2.5,0.2,0.0,0.0,0.5710000000000001,0.35700000000000004,0.289,0.5,0.0,0.0
211,JaKarr Sampson,7.0,3.8,3.0,3.0,0.5,1.5,0.444,0.35700000000000004,0.667,0.667,1.0,1.0
212,JaMychal Green,0.4,3.9,0.3,3.8,1.0,0.6,0.379,0.43700000000000006,0.233,0.628,0.48100000000000004,0.6
213,JaVale McGee,0.4,0.3,0.2,8.4,0.9,2.0,0.406,0.262,0.321,0.688,0.455,0.5579999999999999
214,Jabari Parker,3.5,2.4,2.6,2.3,1.3,0.7,0.524,0.315,0.374,0.7,0.55,0.486
215,Jacob Evans,0.2,0.4,0.6,0.1,0.0,0.1,0.375,0.267,0.375,0.5,0.0,1.0
216,Jae Crowder,1.2,5.7,1.4,1.1,0.1,0.2,0.442,0.35,0.295,0.667,1.0,0.28600000000000003
217,Jahlil Okafor,1.1,0.1,0.4,3.8,1.8,1.4,0.5870000000000001,0.182,0.429,0.662,0.49,0.615
218,Jake Layman,1.1,2.0,1.0,2.2,0.3,0.3,0.5589999999999999,0.31,0.418,0.768,0.643,0.467
219,Jakob Poeltl,0.2,0.2,0.0,4.0,0.3,1.1,0.625,0.5710000000000001,0.25,0.638,0.5,0.7020000000000001
220,Jalen Brunson,3.9,1.6,2.5,0.3,0.1,0.2,0.527,0.33,0.395,0.667,0.4,0.833
221,Jalen Jones,0.9,1.9,0.0,1.4,0.0,0.1,0.3,0.35700000000000004,0.0,0.75,0.0,0.5
222,Jamal Crawford,1.6,1.5,4.3,0.0,0.0,0.1,0.465,0.359,0.401,0.0,0.0,0.5
223,Jamal Murray,5.0,3.6,7.2,1.3,0.1,0.7,0.43200000000000005,0.418,0.4,0.575,0.5,0.61
224,James Ennis III,0.7,2.5,0.4,1.4,0.0,0.4,0.469,0.348,0.375,0.6459999999999999,0.0,0.733
225,James Harden,14.0,1.5,14.6,0.6,0.7,0.1,0.528,0.429,0.37,0.433,0.488,0.5
226,James Johnson,2.3,2.1,1.1,1.0,0.2,0.4,0.41700000000000004,0.317,0.348,0.6920000000000001,0.308,0.5
227,James Nunnally,0.3,1.6,0.0,0.0,0.0,0.0,0.5,0.381,0.0,0.0,0.0,0.0
228,Jared Dudley,0.9,2.8,0.4,0.5,0.0,0.1,0.525,0.361,0.6,0.588,0.0,0.6
229,Jared Terrell,0.4,0.2,1.5,0.0,0.0,0.0,0.2,0.091,0.529,0.0,0.0,0.0
230,Jarell Martin,0.2,1.7,0.1,0.3,0.1,0.0,0.667,0.358,0.231,0.545,0.5,0.33299999999999996
231,Jaren Jackson Jr.,1.7,2.8,0.3,6.2,3.1,1.8,0.46299999999999997,0.374,0.25,0.633,0.48700000000000004,0.551
232,Jaron Blossomgame,0.2,1.3,0.1,2.1,0.0,0.3,0.375,0.28600000000000003,0.14300000000000002,0.632,0.0,0.5710000000000001
233,Jarred Vanderbilt,0.1,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.583,0.0,0.25
234,Jarrett Allen,0.1,0.2,0.0,7.6,0.1,2.2,0.231,0.122,0.0,0.662,0.4,0.542
235,Jason Smith,0.3,1.7,0.0,0.8,0.2,0.3,0.667,0.316,0.0,0.41200000000000003,1.0,0.5
236,Jawun Evans,0.5,0.0,0.3,0.0,0.0,0.0,0.28600000000000003,0.0,0.125,0.0,0.0,0.0
